                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9766,                 3.7995,                 1.8315,                0.00869,                0.34788,                0.00789,                0.00314,                 1.6182,                 3.8348,                 1.6432,              3.334e-05,              3.334e-05,              3.334e-05
                      2,                 1.8417,                 3.7824,                 1.6704,                0.02111,                0.36431,                 0.0159,                0.00801,                 1.5339,                 3.7747,                 1.5361,               8.17e-05,               8.17e-05,               8.17e-05
                      3,                 1.5553,                   3.63,                 1.5416,                0.04953,                0.50698,                0.04639,                0.02435,                 1.5074,                 3.6297,                 1.4001,             0.00012808,             0.00012808,             0.00012808
                      4,                 1.5224,                 3.4108,                 1.3805,                0.05657,                0.60599,                0.06101,                0.03009,                 1.5078,                 3.5266,                  1.358,             0.00017248,             0.00017248,             0.00017248
                      5,                 1.4717,                 3.0796,                 1.2964,                0.05912,                0.66382,                0.12054,                0.07617,                  1.405,                 3.4496,                 1.3228,              0.0002149,              0.0002149,              0.0002149
                      6,                 1.4964,                  2.592,                 1.3789,                0.06172,                0.78038,                0.14192,                0.08329,                 1.3796,                 3.4022,                 1.3352,             0.00025533,             0.00025533,             0.00025533
                      7,                 1.5471,                 2.2444,                 1.3513,                0.06545,                0.74977,                0.29251,                0.18302,                 1.4021,                 3.2393,                 1.3487,             0.00029379,             0.00029379,             0.00029379
                      8,                 1.5129,                 2.0407,                  1.262,                0.06736,                0.76463,                0.36169,                0.21158,                  1.411,                 3.0992,                 1.3307,             0.00033027,             0.00033027,             0.00033027
                      9,                 1.4462,                 1.7336,                 1.2794,                0.06231,                0.68452,                0.34194,                0.20318,                 1.4627,                 3.0417,                 1.3884,             0.00036477,             0.00036477,             0.00036477
                     10,                 1.4657,                 1.7569,                 1.2371,                0.06567,                0.76553,                 0.3246,                0.17939,                 1.4791,                 3.0802,                 1.4323,             0.00039728,             0.00039728,             0.00039728
                     11,                 1.5425,                 1.6167,                 1.2741,                0.93245,                0.14263,                 0.3758,                0.19324,                 1.5265,                 3.0346,                 1.4933,             0.00042782,             0.00042782,             0.00042782
                     12,                 1.4579,                 1.4505,                 1.2566,                0.90737,                 0.2207,                0.39148,                0.20474,                  1.544,                  2.933,                 1.4958,             0.00045637,             0.00045637,             0.00045637
                     13,                 1.3514,                 1.3387,                 1.2461,                0.73508,                0.32358,                0.45564,                0.22632,                 1.5902,                 2.7083,                 1.4851,             0.00048295,             0.00048295,             0.00048295
                     14,                  1.395,                 1.3526,                  1.261,                0.71835,                0.40095,                0.49359,                0.20502,                 1.6173,                 2.5554,                  1.456,             0.00050754,             0.00050754,             0.00050754
                     15,                 1.4325,                 1.3007,                  1.209,                0.54728,                0.44792,                0.46459,                0.21001,                 1.6969,                 2.1982,                 1.4518,             0.00053016,             0.00053016,             0.00053016
                     16,                 1.3384,                 1.2545,                 1.2145,                0.55104,                0.50433,                0.47384,                0.22428,                 1.6687,                 2.0907,                 1.4431,             0.00055079,             0.00055079,             0.00055079
                     17,                 1.3573,                  1.212,                 1.2318,                0.55523,                 0.4829,                0.50315,                0.24653,                 1.5934,                 1.8051,                 1.4236,             0.00056945,             0.00056945,             0.00056945
                     18,                 1.3645,                 1.2062,                 1.2467,                0.67021,                0.50314,                 0.5359,                0.27498,                 1.5612,                  1.577,                 1.4177,             0.00058612,             0.00058612,             0.00058612
                     19,                 1.3426,                 1.2379,                 1.2324,                0.74596,                 0.5324,                0.56498,                0.29232,                 1.5749,                 1.4076,                 1.4391,             0.00060081,             0.00060081,             0.00060081
                     20,                 1.2864,                 1.1506,                 1.2046,                0.84127,                0.51836,                0.57718,                0.30335,                 1.5861,                 1.3422,                 1.4285,             0.00061353,             0.00061353,             0.00061353
                     21,                 1.2618,                 1.0995,                 1.1867,                0.79223,                0.51192,                0.57878,                0.32223,                 1.5506,                 1.3418,                 1.3967,             0.00062426,             0.00062426,             0.00062426
                     22,                 1.3458,                 1.2585,                 1.1765,                0.69988,                0.49775,                0.58671,                0.33503,                 1.5433,                 1.3321,                 1.3745,             0.00063301,             0.00063301,             0.00063301
                     23,                 1.3812,                 1.1641,                 1.1867,                0.53058,                0.58515,                 0.5788,                0.33175,                 1.5861,                 1.3449,                 1.3879,             0.00063978,             0.00063978,             0.00063978
                     24,                 1.3532,                 1.1616,                 1.2101,                0.56048,                0.62579,                0.58389,                0.34433,                 1.5067,                 1.3637,                 1.3321,             0.00064457,             0.00064457,             0.00064457
                     25,                 1.3484,                  1.239,                 1.2174,                0.60955,                0.58618,                0.57687,                0.34324,                 1.4086,                 1.3924,                 1.2654,             0.00064738,             0.00064738,             0.00064738
                     26,                 1.2529,                 1.0967,                  1.168,                0.60245,                0.60599,                0.57752,                0.34069,                 1.3821,                 1.3559,                 1.2538,             0.00064821,             0.00064821,             0.00064821
                     27,                 1.2381,                 1.1791,                 1.1761,                0.60061,                0.59382,                0.56512,                0.31741,                 1.4615,                 1.3336,                  1.311,             0.00064706,             0.00064706,             0.00064706
                     28,                 1.2555,                 1.0865,                 1.1846,                0.57664,                0.57381,                0.51714,                0.26317,                 1.5634,                 1.3246,                 1.3765,             0.00064393,             0.00064393,             0.00064393
                     29,                 1.3204,                 1.2023,                 1.2121,                0.57664,                0.57381,                0.51714,                0.26317,                 1.5634,                 1.3246,                 1.3765,             0.00063882,             0.00063882,             0.00063882
                     30,                 1.2763,                 1.1218,                 1.1484,                0.53382,                0.61589,                0.49464,                0.23929,                 1.6394,                 1.2822,                 1.4461,             0.00063173,             0.00063173,             0.00063173
                     31,                  1.239,                 1.0643,                 1.1632,                0.52375,                0.62151,                0.51149,                0.26065,                 1.5444,                 1.2186,                 1.3876,             0.00062266,             0.00062266,             0.00062266
                     32,                 1.1912,                 1.1038,                 1.1696,                0.48514,                0.63321,                0.51369,                0.27163,                 1.4404,                 1.1561,                 1.3307,             0.00061161,             0.00061161,             0.00061161
                     33,                 1.1614,                0.98883,                 1.1363,                0.48514,                0.63321,                0.51369,                0.27163,                 1.4404,                 1.1561,                 1.3307,             0.00059857,             0.00059857,             0.00059857
                     34,                  1.245,                 1.0549,                 1.1503,                 0.5141,                0.51387,                0.50287,                0.26435,                 1.4485,                 1.1638,                 1.3417,             0.00057778,             0.00057778,             0.00057778
                     35,                 1.1973,                 1.0181,                 1.1497,                0.54339,                0.45567,                0.48395,                0.23695,                 1.5424,                 1.2147,                  1.406,             0.00057778,             0.00057778,             0.00057778
                     36,                 1.2174,                 1.0328,                 1.1764,                0.54352,                0.47795,                0.50233,                0.23628,                 1.5611,                 1.2125,                 1.4191,             0.00054478,             0.00054478,             0.00054478
                     37,                 1.2201,                 1.0543,                 1.1271,                0.54352,                0.47795,                0.50233,                0.23628,                 1.5611,                 1.2125,                 1.4191,             0.00051177,             0.00051177,             0.00051177
                     38,                 1.2781,                 1.1867,                 1.2587,                0.56916,                0.47637,                 0.5161,                0.25546,                 1.5006,                 1.1825,                 1.3776,             0.00047876,             0.00047876,             0.00047876
                     39,                 1.1803,                 1.1099,                 1.1652,                0.56316,                0.48337,                0.51507,                0.26695,                  1.424,                 1.1703,                 1.3241,             0.00044576,             0.00044576,             0.00044576
                     40,                 1.1616,                0.93092,                 1.1519,                0.54058,                0.54555,                0.51619,                0.28251,                  1.362,                  1.207,                 1.2762,             0.00041275,             0.00041275,             0.00041275
                     41,                 1.1363,                0.99881,                 1.1822,                0.54058,                0.54555,                0.51619,                0.28251,                  1.362,                  1.207,                 1.2762,             0.00037974,             0.00037974,             0.00037974
                     42,                 1.1983,                0.96729,                 1.1435,                0.59389,                0.49675,                0.52597,                0.29454,                 1.3431,                 1.2655,                 1.2612,             0.00034674,             0.00034674,             0.00034674
                     43,                 1.1463,                 1.0704,                 1.1729,                0.63204,                0.48627,                0.53966,                0.30839,                 1.3195,                 1.2806,                 1.2524,             0.00031373,             0.00031373,             0.00031373
                     44,                 1.2595,                0.98672,                 1.1878,                0.59755,                0.52616,                0.55266,                0.33232,                 1.3039,                 1.2605,                 1.2481,             0.00028072,             0.00028072,             0.00028072
                     45,                 1.1302,                  1.029,                 1.1676,                0.59755,                0.52616,                0.55266,                0.33232,                 1.3039,                 1.2605,                 1.2481,             0.00024772,             0.00024772,             0.00024772
                     46,                 1.2195,                0.96433,                 1.1648,                0.58075,                0.55477,                0.55392,                0.34808,                 1.2951,                 1.2254,                 1.2441,             0.00021471,             0.00021471,             0.00021471
                     47,                 1.1742,                0.93345,                 1.1925,                0.62101,                0.50559,                0.54858,                0.34709,                 1.2877,                 1.1772,                 1.2381,              0.0001817,              0.0001817,              0.0001817
                     48,                 1.0968,                0.87766,                 1.1351,                0.62925,                0.51755,                0.55368,                0.35126,                 1.3058,                 1.1421,                 1.2454,              0.0001487,              0.0001487,              0.0001487
                     49,                 1.1036,                 1.0588,                 1.1413,                0.62925,                0.51755,                0.55368,                0.35126,                 1.3058,                 1.1421,                 1.2454,             0.00011569,             0.00011569,             0.00011569
                     50,                 1.1323,                0.96221,                 1.1313,                  0.642,                0.53438,                0.57559,                0.36543,                 1.3164,                 1.1066,                  1.251,             8.2683e-05,             8.2683e-05,             8.2683e-05
